,MSE,MAE,R² Score
Linear Regression,0.555891598695244,0.5332001304956558,0.5757877060324511
Decision Tree Regressor,0.495235205629094,0.45467918846899225,0.622075845135081
Random Forest Regressor,0.2553684927247781,0.32754256845930246,0.8051230593157366
Gradient Boosting Regressor,0.2939973248643864,0.3716425690425596,0.7756446042829697
Support Vector Regressor,0.35700403193386515,0.39859907695205377,0.7275628923016773
